location,count,link
"arizona (state)",3,"https://evanwill.github.io/hearings-text/browse.html#arizona%20(state)"
"selway-bitterroot (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#selway-bitterroot%20(landform)"
"dixie (city)",3,"https://evanwill.github.io/hearings-text/browse.html#dixie%20(city)"
"pullman (city)",3,"https://evanwill.github.io/hearings-text/browse.html#pullman%20(city)"
"clarkia (city)",3,"https://evanwill.github.io/hearings-text/browse.html#clarkia%20(city)"
"blaine county, idaho",3,"https://evanwill.github.io/hearings-text/browse.html#blaine%20county,%20idaho"
"clearwater county (county)",3,"https://evanwill.github.io/hearings-text/browse.html#clearwater%20county%20(county)"
"evanston (city)",3,"https://evanwill.github.io/hearings-text/browse.html#evanston%20(city)"
"nez perce national forest (forest)",3,"https://evanwill.github.io/hearings-text/browse.html#nez%20perce%20national%20forest%20(forest)"
"isabella creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#isabella%20creek%20(stream)"
"custer county (county)",3,"https://evanwill.github.io/hearings-text/browse.html#custer%20county%20(county)"
"lemhi county (county)",3,"https://evanwill.github.io/hearings-text/browse.html#lemhi%20county%20(county)"
"kootenai county (county)",3,"https://evanwill.github.io/hearings-text/browse.html#kootenai%20county%20(county)"
"mink creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#mink%20creek%20(stream)"
"lake pend oreille (lake)",3,"https://evanwill.github.io/hearings-text/browse.html#lake%20pend%20oreille%20(lake)"
"lime creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#lime%20creek%20(stream)"
"kelly and cayuse creeks (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#kelly%20and%20cayuse%20creeks%20(stream)"
"cataldo, idaho",3,"https://evanwill.github.io/hearings-text/browse.html#cataldo,%20idaho"
"texas (state)",3,"https://evanwill.github.io/hearings-text/browse.html#texas%20(state)"
"europe (continent)",3,"https://evanwill.github.io/hearings-text/browse.html#europe%20(continent)"
"lionhead (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#lionhead%20(landform)"
"boulder-white clouds (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#boulder-white%20clouds%20(landform)"
"boise forest (forest)",3,"https://evanwill.github.io/hearings-text/browse.html#boise%20forest%20(forest)"
"st. joe river (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#st.%20joe%20river%20(stream)"
"priest river, idaho",3,"https://evanwill.github.io/hearings-text/browse.html#priest%20river,%20idaho"
"spokane (city)",3,"https://evanwill.github.io/hearings-text/browse.html#spokane%20(city)"
"sheep creek (stream)",3,"https://evanwill.github.io/hearings-text/browse.html#sheep%20creek%20(stream)"
"cache peak (landform)",3,"https://evanwill.github.io/hearings-text/browse.html#cache%20peak%20(landform)"
"massachusetts (state)",3,"https://evanwill.github.io/hearings-text/browse.html#massachusetts%20(state)"
"wallace, idaho",2,"https://evanwill.github.io/hearings-text/browse.html#wallace,%20idaho"
"illinois (state)",2,"https://evanwill.github.io/hearings-text/browse.html#illinois%20(state)"
"the coeur d'alene river (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#the%20coeur%20d'alene%20river%20(stream)"
"the sawtooth national recreation area (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#the%20sawtooth%20national%20recreation%20area%20(forest)"
"north america (continent)",2,"https://evanwill.github.io/hearings-text/browse.html#north%20america%20(continent)"
"snowbank mountain (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#snowbank%20mountain%20(landform)"
"new england (region)",2,"https://evanwill.github.io/hearings-text/browse.html#new%20england%20(region)"
"porthill, idaho",2,"https://evanwill.github.io/hearings-text/browse.html#porthill,%20idaho"
"chicago (city)",2,"https://evanwill.github.io/hearings-text/browse.html#chicago%20(city)"
"twin falls (city)",2,"https://evanwill.github.io/hearings-text/browse.html#twin%20falls%20(city)"
"toboggan (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#toboggan%20(stream)"
"palouse (landform)",2,"https://evanwill.github.io/hearings-text/browse.html#palouse%20(landform)"
"the salmon national forest (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#the%20salmon%20national%20forest%20(forest)"
"sun valley (city)",2,"https://evanwill.github.io/hearings-text/browse.html#sun%20valley%20(city)"
"minnesaka (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#minnesaka%20(stream)"
"burns creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#burns%20creek%20(stream)"
"atlanta (city)",2,"https://evanwill.github.io/hearings-text/browse.html#atlanta%20(city)"
"leadore, idaho",2,"https://evanwill.github.io/hearings-text/browse.html#leadore,%20idaho"
"kelly creek district (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#kelly%20creek%20district%20(stream)"
"palisades creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#palisades%20creek%20(stream)"
"the west fork (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#the%20west%20fork%20(stream)"
"the caribou national forest (forest)",2,"https://evanwill.github.io/hearings-text/browse.html#the%20caribou%20national%20forest%20(forest)"
"cow creek (stream)",2,"https://evanwill.github.io/hearings-text/browse.html#cow%20creek%20(stream)"
"vietnam (country)",2,"https://evanwill.github.io/hearings-text/browse.html#vietnam%20(country)"
