subject,count,link
"lower coeur d’alene river outdoor association",1,"https://evanwill.github.io/hearings-text/browse.html#lower%20coeur%20d%E2%80%99alene%20river%20outdoor%20association"
"panhandle snowmobile club",1,"https://evanwill.github.io/hearings-text/browse.html#panhandle%20snowmobile%20club"
"amoco production co",1,"https://evanwill.github.io/hearings-text/browse.html#amoco%20production%20co"
"konkolville lumber co., inc.",1,"https://evanwill.github.io/hearings-text/browse.html#konkolville%20lumber%20co.,%20inc."
"gem state lumber co",1,"https://evanwill.github.io/hearings-text/browse.html#gem%20state%20lumber%20co"
"wickes forests industries",1,"https://evanwill.github.io/hearings-text/browse.html#wickes%20forests%20industries"
"ada county fish & game league",1,"https://evanwill.github.io/hearings-text/browse.html#ada%20county%20fish%20&%20game%20league"
"clearwater chapter, idaho conservation league",1,"https://evanwill.github.io/hearings-text/browse.html#clearwater%20chapter,%20idaho%20conservation%20league"
"lewiston league of women voters",1,"https://evanwill.github.io/hearings-text/browse.html#lewiston%20league%20of%20women%20voters"
"nez perce tribal executive committee",1,"https://evanwill.github.io/hearings-text/browse.html#nez%20perce%20tribal%20executive%20committee"
"musselman construction co",1,"https://evanwill.github.io/hearings-text/browse.html#musselman%20construction%20co"
"r. f. coon logging, inc",1,"https://evanwill.github.io/hearings-text/browse.html#r.%20f.%20coon%20logging,%20inc"
"grangeville chamber of commerce",1,"https://evanwill.github.io/hearings-text/browse.html#grangeville%20chamber%20of%20commerce"
"owyhee county farm bureau",1,"https://evanwill.github.io/hearings-text/browse.html#owyhee%20county%20farm%20bureau"
"getty oil co",1,"https://evanwill.github.io/hearings-text/browse.html#getty%20oil%20co"
"college of forestry, university of idaho",1,"https://evanwill.github.io/hearings-text/browse.html#college%20of%20forestry,%20university%20of%20idaho"
"american fisheries society",1,"https://evanwill.github.io/hearings-text/browse.html#american%20fisheries%20society"
"idaho chapter, american fisheries chapter",1,"https://evanwill.github.io/hearings-text/browse.html#idaho%20chapter,%20american%20fisheries%20chapter"
"henderson logging, inc",1,"https://evanwill.github.io/hearings-text/browse.html#henderson%20logging,%20inc"
"shearer lumber products, inc",1,"https://evanwill.github.io/hearings-text/browse.html#shearer%20lumber%20products,%20inc"
"dixie outfitters, inc",1,"https://evanwill.github.io/hearings-text/browse.html#dixie%20outfitters,%20inc"
"whitman county sportsmen's association",1,"https://evanwill.github.io/hearings-text/browse.html#whitman%20county%20sportsmen's%20association"
"d-double-s outfitters, inc",1,"https://evanwill.github.io/hearings-text/browse.html#d-double-s%20outfitters,%20inc"
"idaho state bow hunters",1,"https://evanwill.github.io/hearings-text/browse.html#idaho%20state%20bow%20hunters"
"board of trustees, idaho joint school district no. 241",1,"https://evanwill.github.io/hearings-text/browse.html#board%20of%20trustees,%20idaho%20joint%20school%20district%20no.%20241"
"shearer lumber co",1,"https://evanwill.github.io/hearings-text/browse.html#shearer%20lumber%20co"
"northern rockies resource group",1,"https://evanwill.github.io/hearings-text/browse.html#northern%20rockies%20resource%20group"
"united papermakers international union",1,"https://evanwill.github.io/hearings-text/browse.html#united%20papermakers%20international%20union"
"carroll mineral exploration",1,"https://evanwill.github.io/hearings-text/browse.html#carroll%20mineral%20exploration"
"columbia river inter-tribal fish commission",1,"https://evanwill.github.io/hearings-text/browse.html#columbia%20river%20inter-tribal%20fish%20commission"
"clearwater fly casters",1,"https://evanwill.github.io/hearings-text/browse.html#clearwater%20fly%20casters"
"orofino chamber of commerce",1,"https://evanwill.github.io/hearings-text/browse.html#orofino%20chamber%20of%20commerce"
"lewiston schools",1,"https://evanwill.github.io/hearings-text/browse.html#lewiston%20schools"
"jacklin seed co",1,"https://evanwill.github.io/hearings-text/browse.html#jacklin%20seed%20co"
"coeur d’alene mines",1,"https://evanwill.github.io/hearings-text/browse.html#coeur%20d%E2%80%99alene%20mines"
"superior oil co",1,"https://evanwill.github.io/hearings-text/browse.html#superior%20oil%20co"
"idaho mining association",1,"https://evanwill.github.io/hearings-text/browse.html#idaho%20mining%20association"
"american association of university women",1,"https://evanwill.github.io/hearings-text/browse.html#american%20association%20of%20university%20women"
"blm",1,"https://evanwill.github.io/hearings-text/browse.html#blm"
"idaho cattlemen’s association",1,"https://evanwill.github.io/hearings-text/browse.html#idaho%20cattlemen%E2%80%99s%20association"
"sagebrush rebellion, inc",1,"https://evanwill.github.io/hearings-text/browse.html#sagebrush%20rebellion,%20inc"
"greater snake river land use congress, outdoorsmen unlimited",1,"https://evanwill.github.io/hearings-text/browse.html#greater%20snake%20river%20land%20use%20congress,%20outdoorsmen%20unlimited"
"society of american foresters",1,"https://evanwill.github.io/hearings-text/browse.html#society%20of%20american%20foresters"
"water",1,"https://evanwill.github.io/hearings-text/browse.html#water"
"hobby",1,"https://evanwill.github.io/hearings-text/browse.html#hobby"
"ada county chapter, idaho conservation league",1,"https://evanwill.github.io/hearings-text/browse.html#ada%20county%20chapter,%20idaho%20conservation%20league"
"senior citizens",1,"https://evanwill.github.io/hearings-text/browse.html#senior%20citizens"
"wilderness society",1,"https://evanwill.github.io/hearings-text/browse.html#wilderness%20society"
"sawtooth forest products",1,"https://evanwill.github.io/hearings-text/browse.html#sawtooth%20forest%20products"
"boise cascade",1,"https://evanwill.github.io/hearings-text/browse.html#boise%20cascade"
"scientist",1,"https://evanwill.github.io/hearings-text/browse.html#scientist"
